id;name;link;specialization;films_years;description;path_to_folder
18826;Анатолий Антонов;https://www.kinopoisk.ru/name/2761637;;3;;actors_ussr_russia/18826
10693;Илья Ольшвангер;https://www.kinopoisk.ru/name/339850;Режиссер;5, 1965 — 1981;;actors_ussr_russia/10693
5812;Ирина Потапенко;https://www.kinopoisk.ru/name/1118871;Актриса;33, 2003 — 2021;Неортодоксальная;actors_ussr_russia/5812
7429;Герман Сегал;https://www.kinopoisk.ru/name/4748510;Актер;16, 2016 — 2022;Красный призрак,Пингвины моей мамы,Анна-детективъ,Скорая помощь 3,Водоворот,Клиника счастья;actors_ussr_russia/7429
9066;Василий Быстров;https://www.kinopoisk.ru/name/1649315;Режиссер,Продюсер;3, 2006 — 2022;;actors_ussr_russia/9066
928;Владимир Конкин;https://www.kinopoisk.ru/name/273549;Актер дубляжа,Актер;199, 1951 — 2020;Аты-баты, шли солдаты...,Последняя осень,Мудромер,Романовы: Венценосная семья,Романс о влюбленных,Место встречи изменить нельзя,Завещание Ленина,Отцы и дети,Благородный разбойник Владимир Дубровский,Как закалялась сталь;actors_ussr_russia/928
13938;Всеволод Гаршин;https://www.kinopoisk.ru/name/371516;Сценарист;2, 1918 — 1965;;actors_ussr_russia/13938
31388;Сергей Крымский;https://www.kinopoisk.ru/name/2431924;Актер;17, 2004 — 2018;Спец,Глухарь. Возвращение,Гадалка,Шаповалов;actors_ussr_russia/31388
4182;Ольга Долинина;https://www.kinopoisk.ru/name/1677630;Актриса;33, 2004 — 2023;Последнее путешествие Синдбада,Розыск 3,Интерны,Маяковский. Два дня;actors_ussr_russia/4182
26791;Олег Прудиус;https://www.kinopoisk.ru/name/40302;Актер,Продюсер;42, 1979 — 2024;25-й час,WWE RAW,Черная метка,WWE SmackDown;actors_ussr_russia/26791
12323;Дарья Заславская;https://www.kinopoisk.ru/name/4693862;Актриса,Актриса дубляжа;3, 2008 — 2014;Карпов,Глухарь;actors_ussr_russia/12323
2562;Руфина Нифонтова;https://www.kinopoisk.ru/name/310919;Актриса,Актриса дубляжа;44, 1955 — 1993;С любимыми не расставайтесь,Вишнёвый сад,Контрольная по специальности,Дачники,Вам и не снилось...,Опасный поворот;actors_ussr_russia/2562
5813;Михаил Морсков;https://www.kinopoisk.ru/name/1663892;Композитор,Режиссер,Сценарист,Продюсер,Актер,Монтажер;27, 2006 — 2023;Волшебник,Спасибо деду за победу,Мятеж;actors_ussr_russia/5813
929;Николай Бурляев;https://www.kinopoisk.ru/name/174197;Актер,Режиссер,Сценарист,Актер дубляжа,Продюсер;80, 1946 — 2023;Иваново детство,Военно-полевой роман,Мама вышла замуж,Герой нашего времени,Семейное счастье,Маленькие трагедии,Адмиралъ;actors_ussr_russia/929
35666;Станислав Рубенчик;https://www.kinopoisk.ru/name/5042722;Режиссер,Актер;4, 2017 — 2020;Коп;actors_ussr_russia/35666
22078;Кирилл Мошков;https://www.kinopoisk.ru/name/7065340;Сценарист;1, 2022 — 2022;;actors_ussr_russia/22078
31392;Константин Новиков;https://www.kinopoisk.ru/name/2600678;Актер;103, 2004 — 2023;Триггер,Трудные подростки,ЧС. Чрезвычайная ситуация,Глухарь. Возвращение,Преступление;actors_ussr_russia/31392
4183;Оксана Фомичева;https://www.kinopoisk.ru/name/284903;Актриса;12, 1988 — 2001;Приморский бульвар,Сталинград;actors_ussr_russia/4183
18828;Любовь Шуль;https://www.kinopoisk.ru/name/4173804;Актриса,Продюсер;9, 2015 — 2017;;actors_ussr_russia/18828
26794;Тамби Масаев;https://www.kinopoisk.ru/name/3892084;Актер;8, 2015 — 2023;По небу босиком;actors_ussr_russia/26794
930;Вячеслав Манучаров;https://www.kinopoisk.ru/name/1384492;Актер;59, 1999 — 2023;Русский ковчег,До свидания, мальчики,Простые истины,Больше чем любовь,Зелёный фургон;actors_ussr_russia/930
22079;Дарья Ефимова;https://www.kinopoisk.ru/name/7069069;Актриса;1, 2012 — 2012;;actors_ussr_russia/22079
26798;Владимир Ярош;https://www.kinopoisk.ru/name/2782635;Актер;28, 2000 — 2023;Северное сияние. Ведьмины куклы. Фильм второй,Ангел Бэби,Город Ангел Бэби,Ментовские войны 10,Первый отдел,Великолепная пятёрка;actors_ussr_russia/26798
10696;Наталья Полякова;https://www.kinopoisk.ru/name/3544694;Актриса;6, 2008 — 2014;Счастливчик Пашка,Маяковский. Два дня;actors_ussr_russia/10696
17195;Антон Григорьев;https://www.kinopoisk.ru/name/6442141;Актер;10, 2017 — 2022;Невский. Охота на Архитектора,Великолепная пятёрка,Филин,Условный мент;actors_ussr_russia/17195
13941;Фуат Бикбулатов;https://www.kinopoisk.ru/name/2433451;Продюсер,Монтажер,Режиссер,Актер;5, 2011 — 2016;;actors_ussr_russia/13941
26799;Анна Донченко;https://www.kinopoisk.ru/name/2683753;Актриса;23, 2008 — 2018;Чужой,Такая работа,Бездна;actors_ussr_russia/26799
31402;Анна-Мария Даниленко;https://www.kinopoisk.ru/name/1700961;Актриса;10, 2004 — 2020;Долгое прощание,Между нами, девочками. Продолжение;actors_ussr_russia/31402
4185;Наталья Иохвидова;https://www.kinopoisk.ru/name/1624599;Актриса,Сценарист;100, 1984 — 2023;Фонтан,Капитан Волконогов бежал,Жажда,Мамочка, я киллера люблю,Инсомния,Тест на беременность,Ласточкино гнездо,Спросите медсестру;actors_ussr_russia/4185
10697;Владлена Ермакова;https://www.kinopoisk.ru/name/2878244;Актриса;3, 2007 — 2011;;actors_ussr_russia/10697
9069;Елизавета Говорова;https://www.kinopoisk.ru/name/6243519;Актриса;4, 2020 — 2022;;actors_ussr_russia/9069
